timestamp,link_type,tx_id,rx_id,received_power,path_loss,delay_spread,is_line_of_sight,num_paths,p_tot_watts,p_max_watts,dominance,k_factor,k_factor_db,prop_mode
0.0,V2I,BS_1,vehicle_0,-84.93,114.93,1585.68,True,1,3.213660538640315e-12,3.213660538640315e-12,1.0,inf,inf,D
1.0,V2I,BS_1,vehicle_0,-84.66,114.66,1537.09,True,1,3.419794425137094e-12,3.419794425137094e-12,1.0,inf,inf,D
2.0,V2I,BS_1,vehicle_0,-84.38,114.38,1487.71,True,1,3.647539469256088e-12,3.647539469256088e-12,1.0,inf,inf,D
3.0,V2I,BS_1,vehicle_0,-84.07,114.07,1435.89,True,1,3.917418771077831e-12,3.917418771077831e-12,1.0,inf,inf,D
4.0,V2I,BS_1,vehicle_0,-83.76,113.76,1386.13,True,1,4.207266283844429e-12,4.207266283844429e-12,1.0,inf,inf,D
5.0,V2I,BS_1,vehicle_0,-83.45,113.45,1337.06,True,1,4.518559443749217e-12,4.518559443749217e-12,1.0,inf,inf,D
5.0,V2I,BS_1,vehicle_1,-84.03,114.03,1429.04,True,1,3.953666200681274e-12,3.953666200681274e-12,1.0,inf,inf,D
5.0,V2I,BS_1,vehicle_2,-81.95,111.95,1124.45,True,1,6.382634861905483e-12,6.382634861905483e-12,1.0,inf,inf,D
5.0,V2V,vehicle_0,vehicle_1,-67.85,90.85,99.1,True,1,1.640589773199542e-10,1.640589773199542e-10,1.0,inf,inf,D
5.0,V2V,vehicle_0,vehicle_2,-75.32,98.32,234.23,True,1,2.9376496519615363e-11,2.9376496519615363e-11,1.0,inf,inf,D
5.0,V2V,vehicle_1,vehicle_0,-67.85,90.85,99.1,True,1,1.640589773199542e-10,1.640589773199542e-10,1.0,inf,inf,D
5.0,V2V,vehicle_1,vehicle_2,-78.38,101.38,333.33,True,1,1.452111617587745e-11,1.452111617587745e-11,1.0,inf,inf,D
5.0,V2V,vehicle_2,vehicle_0,-75.32,98.32,234.23,True,1,2.9376496519615363e-11,2.9376496519615363e-11,1.0,inf,inf,D
5.0,V2V,vehicle_2,vehicle_1,-78.38,101.38,333.33,True,1,1.452111617587745e-11,1.452111617587745e-11,1.0,inf,inf,D
6.0,V2I,BS_1,vehicle_0,-83.13,113.13,1288.9,True,1,4.864072056914629e-12,4.864072056914629e-12,1.0,inf,inf,D
6.0,V2I,BS_1,vehicle_1,-83.73,113.73,1381.52,True,1,4.2364296604954e-12,4.2364296604954e-12,1.0,inf,inf,D
6.0,V2I,BS_1,vehicle_2,-81.56,111.56,1075.51,True,1,6.9823240407717045e-12,6.9823240407717045e-12,1.0,inf,inf,D
6.0,V2V,vehicle_0,vehicle_1,-67.96,90.96,100.37,True,1,1.599558028614671e-10,1.599558028614671e-10,1.0,inf,inf,D
6.0,V2V,vehicle_0,vehicle_2,-75.43,98.43,237.27,True,1,2.864177969906574e-11,2.864177969906574e-11,1.0,inf,inf,D
6.0,V2V,vehicle_1,vehicle_0,-67.96,90.96,100.37,True,1,1.599558028614671e-10,1.599558028614671e-10,1.0,inf,inf,D
6.0,V2V,vehicle_1,vehicle_2,-78.5,101.5,337.63,True,1,1.4125375446227554e-11,1.4125375446227554e-11,1.0,inf,inf,D
6.0,V2V,vehicle_2,vehicle_0,-75.43,98.43,237.27,True,1,2.864177969906574e-11,2.864177969906574e-11,1.0,inf,inf,D
6.0,V2V,vehicle_2,vehicle_1,-78.5,101.5,337.63,True,1,1.4125375446227554e-11,1.4125375446227554e-11,1.0,inf,inf,D
7.0,V2I,BS_1,vehicle_0,-82.8,112.8,1241.06,True,1,5.248074602497734e-12,5.248074602497734e-12,1.0,inf,inf,D
7.0,V2I,BS_1,vehicle_1,-83.43,113.43,1333.3,True,1,4.539416166502032e-12,4.539416166502032e-12,1.0,inf,inf,D
7.0,V2I,BS_1,vehicle_2,-81.18,111.18,1029.1,True,1,7.620790100254115e-12,7.620790100254115e-12,1.0,inf,inf,D
7.0,V2V,vehicle_0,vehicle_1,-67.98,90.98,100.63,True,1,1.5922087270511701e-10,1.5922087270511701e-10,1.0,inf,inf,D
7.0,V2V,vehicle_0,vehicle_2,-75.46,98.46,238.1,True,1,2.84446110744792e-11,2.84446110744792e-11,1.0,inf,inf,D
7.0,V2V,vehicle_1,vehicle_0,-67.98,90.98,100.63,True,1,1.5922087270511701e-10,1.5922087270511701e-10,1.0,inf,inf,D
7.0,V2V,vehicle_1,vehicle_2,-78.52,101.52,338.73,True,1,1.4060475241299156e-11,1.4060475241299156e-11,1.0,inf,inf,D
7.0,V2V,vehicle_2,vehicle_0,-75.46,98.46,238.1,True,1,2.84446110744792e-11,2.84446110744792e-11,1.0,inf,inf,D
7.0,V2V,vehicle_2,vehicle_1,-78.52,101.52,338.73,True,1,1.4060475241299156e-11,1.4060475241299156e-11,1.0,inf,inf,D
8.0,V2I,BS_1,vehicle_0,-82.46,112.46,1192.54,True,1,5.6754460540854884e-12,5.6754460540854884e-12,1.0,inf,inf,D
8.0,V2I,BS_1,vehicle_1,-83.12,113.12,1287.13,True,1,4.87528490103385e-12,4.87528490103385e-12,1.0,inf,inf,D
8.0,V2I,BS_1,vehicle_2,-80.79,110.79,983.83,True,1,8.336811846196331e-12,8.336811846196331e-12,1.0,inf,inf,D
8.0,V2V,vehicle_0,vehicle_1,-68.27,91.27,103.97,True,1,1.4893610777109155e-10,1.4893610777109155e-10,1.0,inf,inf,D
8.0,V2V,vehicle_0,vehicle_2,-75.43,98.43,237.23,True,1,2.864177969906574e-11,2.864177969906574e-11,1.0,inf,inf,D
8.0,V2V,vehicle_1,vehicle_0,-68.27,91.27,103.97,True,1,1.4893610777109155e-10,1.4893610777109155e-10,1.0,inf,inf,D
8.0,V2V,vehicle_1,vehicle_2,-78.59,101.59,341.2,True,1,1.383566378971781e-11,1.383566378971781e-11,1.0,inf,inf,D
8.0,V2V,vehicle_2,vehicle_0,-75.43,98.43,237.23,True,1,2.864177969906574e-11,2.864177969906574e-11,1.0,inf,inf,D
8.0,V2V,vehicle_2,vehicle_1,-78.59,101.59,341.2,True,1,1.383566378971781e-11,1.383566378971781e-11,1.0,inf,inf,D
9.0,V2I,BS_1,vehicle_0,-82.09,112.09,1143.67,True,1,6.180164001384164e-12,6.180164001384164e-12,1.0,inf,inf,D
9.0,V2I,BS_1,vehicle_1,-82.79,112.79,1239.76,True,1,5.260172663907063e-12,5.260172663907063e-12,1.0,inf,inf,D
9.0,V2I,BS_1,vehicle_2,-80.38,110.38,938.97,True,1,9.162204901219993e-12,9.162204901219993e-12,1.0,inf,inf,D
9.0,V2V,vehicle_0,vehicle_1,-68.48,91.48,106.53,True,1,1.4190575216890897e-10,1.4190575216890897e-10,1.0,inf,inf,D
9.0,V2V,vehicle_0,vehicle_2,-75.38,98.38,235.9,True,1,2.8973435877013272e-11,2.8973435877013272e-11,1.0,inf,inf,D
9.0,V2V,vehicle_1,vehicle_0,-68.48,91.48,106.53,True,1,1.4190575216890897e-10,1.4190575216890897e-10,1.0,inf,inf,D
9.0,V2V,vehicle_1,vehicle_2,-78.62,101.62,342.43,True,1,1.3740419750125149e-11,1.3740419750125149e-11,1.0,inf,inf,D
9.0,V2V,vehicle_2,vehicle_0,-75.38,98.38,235.9,True,1,2.8973435877013272e-11,2.8973435877013272e-11,1.0,inf,inf,D
9.0,V2V,vehicle_2,vehicle_1,-78.62,101.62,342.43,True,1,1.3740419750125149e-11,1.3740419750125149e-11,1.0,inf,inf,D
10.0,V2I,BS_1,flow_east.0,-83.86,113.86,1401.13,True,1,4.11149721104523e-12,4.11149721104523e-12,1.0,inf,inf,D
10.0,V2I,BS_1,flow_west.0,-79.71,109.71,869.14,True,1,1.06905487922266e-11,1.06905487922266e-11,1.0,inf,inf,D
10.0,V2I,BS_1,vehicle_0,-81.72,111.72,1095.56,True,1,6.729766562843168e-12,6.729766562843168e-12,1.0,inf,inf,D
10.0,V2I,BS_1,vehicle_1,-82.48,112.48,1195.19,True,1,5.649369748123011e-12,5.649369748123011e-12,1.0,inf,inf,D
10.0,V2I,BS_1,vehicle_2,-79.97,109.97,896.07,True,1,1.0069316688518044e-11,1.0069316688518044e-11,1.0,inf,inf,D
10.0,V2V,flow_east.0,flow_west.0,-94.0,117.0,2011.69,True,1,3.981071705534969e-13,3.981071705534969e-13,1.0,inf,inf,D
10.0,V2V,flow_east.0,vehicle_0,-95.05,118.05,2270.77,True,1,3.126079367123962e-13,3.126079367123962e-13,1.0,inf,inf,D
10.0,V2V,flow_east.0,vehicle_1,-95.47,118.47,2382.3,True,1,2.837919028441552e-13,2.837919028441552e-13,1.0,inf,inf,D
10.0,V2V,flow_east.0,vehicle_2,-94.11,117.11,2037.23,True,1,3.8815036599064864e-13,3.8815036599064864e-13,1.0,inf,inf,D
10.0,V2V,flow_west.0,flow_east.0,-94.0,117.0,2011.69,True,1,3.981071705534969e-13,3.981071705534969e-13,1.0,inf,inf,D
10.0,V2V,flow_west.0,vehicle_0,-76.2,99.2,259.32,True,1,2.3988329190194896e-11,2.3988329190194896e-11,1.0,inf,inf,D
10.0,V2V,flow_west.0,vehicle_1,-79.31,102.31,370.79,True,1,1.1721953655481304e-11,1.1721953655481304e-11,1.0,inf,inf,D
