timestamp,link_type,tx_id,rx_id,received_power,path_loss,delay_spread,is_line_of_sight,num_paths,p_tot_watts,p_max_watts,dominance,k_factor,k_factor_db,prop_mode
0.0,V2I,BS_1,we_0,-96.91,126.91,1120.38,False,1,2.034854695189e-13,2.034854695189e-13,1.000000,inf,inf,D
1.0,V2I,BS_1,we_0,-96.70,126.70,1092.52,False,1,2.139973676838e-13,2.139973676838e-13,1.000000,inf,inf,D
1.0,V2I,BS_1,we_1,-96.87,126.87,1114.61,False,1,2.055968164907e-13,2.055968164907e-13,1.000000,inf,inf,D
1.0,V2I,BS_1,sn_0,-96.72,126.72,1095.89,False,1,2.126800219074e-13,2.126800219074e-13,1.000000,inf,inf,D
1.0,V2I,BS_1,ew_0,-73.59,103.59,0.49,True,2,4.370233862294e-11,3.790959907102e-11,0.867450,6.544330,8.16,D
1.0,V2I,BS_1,ns_0,-74.44,104.44,0.11,True,2,3.600147956172e-11,3.577643042929e-11,0.993749,158.971643,22.01,D
1.0,V2V,we_0,we_1,-55.46,78.46,0.02,True,2,2.841623279278e-09,2.841247746296e-09,0.999868,7565.907345,38.79,D
1.0,V2V,we_1,we_0,-55.46,78.46,0.02,True,2,2.841623073161e-09,2.841247746296e-09,0.999868,7570.062272,38.79,D
2.0,V2I,BS_1,we_0,-96.47,126.47,1064.77,False,1,2.252962339025e-13,2.252962339025e-13,1.000000,inf,inf,D
2.0,V2I,BS_1,we_1,-96.64,126.64,1085.85,False,1,2.166346369258e-13,2.166346369258e-13,1.000000,inf,inf,D
2.0,V2I,BS_1,we_2,-96.82,126.82,1108.48,False,1,2.078787691491e-13,2.078787691491e-13,1.000000,inf,inf,D
2.0,V2I,BS_1,sn_0,-96.49,126.49,1066.47,False,1,2.245783145039e-13,2.245783145039e-13,1.000000,inf,inf,D
2.0,V2I,BS_1,sn_1,-96.67,126.67,1089.16,False,1,2.153174542502e-13,2.153174542502e-13,1.000000,inf,inf,D
2.0,V2I,BS_1,sn_2,-96.86,126.86,1113.42,False,1,2.060366306689e-13,2.060366306689e-13,1.000000,inf,inf,D
2.0,V2I,BS_1,ew_0,-73.90,103.90,0.15,True,2,4.075594655056e-11,4.036441667021e-11,0.990393,103.094090,20.13,D
2.0,V2I,BS_1,ew_1,-74.12,104.12,0.13,True,2,3.876859667714e-11,3.845197077412e-11,0.991833,121.442909,20.84,D
2.0,V2I,BS_1,ns_0,-73.56,103.56,0.49,True,2,4.406429734982e-11,3.817497359893e-11,0.866347,6.482064,8.12,D
2.0,V2I,BS_1,ns_1,-73.70,103.70,0.50,True,2,4.264318065328e-11,3.628065903261e-11,0.850796,5.702245,7.56,D
