timestamp,optimized_total_throughput_mbps,solve_status
0.0,148.0,Optimal
1.0,148.0,Optimal
2.0,240.0,Optimal
3.0,240.0,Optimal
4.0,240.0,Optimal
5.0,790.0,Optimal
6.0,790.0,Optimal
7.0,790.0,Optimal
8.0,790.0,Optimal
9.0,790.0,Optimal
10.0,1340.0,Optimal
11.0,1248.0,Optimal
12.0,1268.0,Optimal
13.0,1268.0,Optimal
14.0,1268.0,Optimal
15.0,1198.0,Optimal
16.0,1288.0,Optimal
17.0,1230.0,Optimal
18.0,1230.0,Optimal
19.0,1230.0,Optimal
20.0,1580.0,Optimal
21.0,1580.0,Optimal
22.0,1870.0,Optimal
23.0,1760.0,Optimal
24.0,1540.0,Optimal
25.0,1800.0,Optimal
26.0,1800.0,Optimal
27.0,1580.0,Optimal
28.0,1340.0,Optimal
29.0,1340.0,Optimal
30.0,2038.0,Optimal
31.0,1818.0,Optimal
32.0,1818.0,Optimal
33.0,2038.0,Optimal
34.0,2130.0,Optimal
35.0,2110.0,Optimal
36.0,2020.0,Optimal
37.0,2000.0,Optimal
38.0,1930.0,Optimal
39.0,1930.0,Optimal
40.0,2170.0,Optimal
41.0,2570.0,Optimal
42.0,2570.0,Optimal
43.0,2500.0,Optimal
44.0,2480.0,Optimal
45.0,2500.0,Optimal
46.0,2570.0,Optimal
47.0,2478.0,Optimal
48.0,2500.0,Optimal
49.0,2498.0,Optimal
50.0,2990.0,Optimal
51.0,3100.0,Optimal
52.0,2880.0,Optimal
53.0,2638.0,Optimal
54.0,2660.0,Optimal
55.0,2660.0,Optimal
56.0,2460.0,Optimal
57.0,2570.0,Optimal
58.0,2570.0,Optimal
59.0,2570.0,Optimal
60.0,2788.0,Optimal
61.0,2550.0,Optimal
62.0,2550.0,Optimal
63.0,2480.0,Optimal
64.0,2660.0,Optimal
65.0,2258.0,Optimal
66.0,2258.0,Optimal
67.0,1948.0,Optimal
68.0,1948.0,Optimal
69.0,1838.0,Optimal
70.0,2518.0,Optimal
71.0,2518.0,Optimal
72.0,2518.0,Optimal
73.0,2276.0,Optimal
74.0,2186.0,Optimal
75.0,2188.0,Optimal
76.0,2188.0,Optimal
77.0,2168.0,Optimal
78.0,2168.0,Optimal
79.0,2168.0,Optimal
80.0,2458.0,Optimal
81.0,2146.0,Optimal
82.0,2460.0,Optimal
83.0,2478.0,Optimal
84.0,2478.0,Optimal
85.0,2460.0,Optimal
86.0,2226.0,Optimal
87.0,2078.0,Optimal
88.0,2078.0,Optimal
89.0,2078.0,Optimal
90.0,2078.0,Optimal
91.0,2148.0,Optimal
92.0,2000.0,Optimal
93.0,1930.0,Optimal
94.0,1528.0,Optimal
95.0,1196.0,Optimal
96.0,1048.0,Optimal
97.0,1380.0,Optimal
98.0,1380.0,Optimal
99.0,1380.0,Optimal
