timestamp,link_type,tx_id,rx_id,received_power,path_loss,delay_spread,is_line_of_sight,num_paths,p_tot_watts,p_max_watts,dominance,k_factor,k_factor_db,prop_mode
0.0,V2I,BS_1,vehicle_0,-84.93,114.93,1585.68,True,1,3.212418549913e-12,3.212418549913e-12,1.000000,inf,inf,D
1.0,V2I,BS_1,vehicle_0,-84.66,114.66,1537.09,True,1,3.418750966837e-12,3.418750966837e-12,1.000000,inf,inf,D
2.0,V2I,BS_1,vehicle_0,-84.38,114.38,1487.71,True,1,3.649427500986e-12,3.649427500986e-12,1.000000,inf,inf,D
3.0,V2I,BS_1,vehicle_0,-84.07,114.07,1435.89,True,1,3.917627810750e-12,3.917627810750e-12,1.000000,inf,inf,D
4.0,V2I,BS_1,vehicle_0,-83.76,113.76,1386.13,True,1,4.203937692731e-12,4.203937692731e-12,1.000000,inf,inf,D
5.0,V2I,BS_1,vehicle_0,-83.45,113.45,1337.06,True,1,4.518195581670e-12,4.518195581670e-12,1.000000,inf,inf,D
5.0,V2I,BS_1,vehicle_1,-84.03,114.03,1429.04,True,1,3.955245773224e-12,3.955245773224e-12,1.000000,inf,inf,D
5.0,V2I,BS_1,vehicle_2,-81.95,111.95,1124.45,True,1,6.388284715208e-12,6.388284715208e-12,1.000000,inf,inf,D
5.0,V2V,vehicle_0,vehicle_1,-67.85,90.85,99.10,True,1,1.641031434929e-10,1.641031434929e-10,1.000000,inf,inf,D
5.0,V2V,vehicle_0,vehicle_2,-75.32,98.32,234.23,True,1,2.937425168197e-11,2.937425168197e-11,1.000000,inf,inf,D
5.0,V2V,vehicle_1,vehicle_0,-67.85,90.85,99.10,True,1,1.641031434929e-10,1.641031434929e-10,1.000000,inf,inf,D
5.0,V2V,vehicle_1,vehicle_2,-78.38,101.38,333.33,True,1,1.450463213382e-11,1.450463213382e-11,1.000000,inf,inf,D
5.0,V2V,vehicle_2,vehicle_0,-75.32,98.32,234.23,True,1,2.937425168197e-11,2.937425168197e-11,1.000000,inf,inf,D
5.0,V2V,vehicle_2,vehicle_1,-78.38,101.38,333.33,True,1,1.450463213382e-11,1.450463213382e-11,1.000000,inf,inf,D
6.0,V2I,BS_1,vehicle_0,-83.13,113.13,1288.90,True,1,4.862088277539e-12,4.862088277539e-12,1.000000,inf,inf,D
6.0,V2I,BS_1,vehicle_1,-83.73,113.73,1381.52,True,1,4.232047393315e-12,4.232047393315e-12,1.000000,inf,inf,D
6.0,V2I,BS_1,vehicle_2,-81.56,111.56,1075.51,True,1,6.982908847813e-12,6.982908847813e-12,1.000000,inf,inf,D
6.0,V2V,vehicle_0,vehicle_1,-67.96,90.96,100.37,True,1,1.599871889402e-10,1.599871889402e-10,1.000000,inf,inf,D
6.0,V2V,vehicle_0,vehicle_2,-75.43,98.43,237.27,True,1,2.862798304797e-11,2.862798304797e-11,1.000000,inf,inf,D
6.0,V2V,vehicle_1,vehicle_0,-67.96,90.96,100.37,True,1,1.599871889402e-10,1.599871889402e-10,1.000000,inf,inf,D
6.0,V2V,vehicle_1,vehicle_2,-78.50,101.50,337.63,True,1,1.413753120223e-11,1.413753120223e-11,1.000000,inf,inf,D
6.0,V2V,vehicle_2,vehicle_0,-75.43,98.43,237.27,True,1,2.862798304797e-11,2.862798304797e-11,1.000000,inf,inf,D
6.0,V2V,vehicle_2,vehicle_1,-78.50,101.50,337.63,True,1,1.413753120223e-11,1.413753120223e-11,1.000000,inf,inf,D
7.0,V2I,BS_1,vehicle_0,-82.80,112.80,1241.06,True,1,5.244184643505e-12,5.244184643505e-12,1.000000,inf,inf,D
